reservoir_a,reservoir_b,overlap_days,correlation,abs_correlation
Banasura Sagar,Chenkulam,1975,-0.2344728889949593,0.2344728889949593
Banasura Sagar,Erattayar,0,,
Banasura Sagar,Idamalayar,1975,0.9704228339491824,0.9704228339491824
Banasura Sagar,Idukki,1979,0.9333875350049381,0.9333875350049381
Banasura Sagar,Kakkayam,1609,0.7682370776746945,0.7682370776746945
Banasura Sagar,Kallar,0,,
Banasura Sagar,Kallarkutty,1969,0.04908780721976897,0.04908780721976897
Banasura Sagar,Kundala,1979,0.5776751270391257,0.5776751270391257
Banasura Sagar,Mattupetty,1978,0.9096748037635628,0.9096748037635628
Banasura Sagar,Moozhiyar,1976,-0.3233263726601111,0.3233263726601111
Banasura Sagar,Pamba,1974,0.355658399539693,0.355658399539693
Banasura Sagar,Pambla,1959,0.05264139103439302,0.05264139103439302
Banasura Sagar,Ponmudi,1977,0.5147128042539508,0.5147128042539508
Banasura Sagar,Poringalkuthu,1979,0.12628885752827299,0.12628885752827299
Banasura Sagar,Sholayar,1978,0.9503027578735631,0.9503027578735631
Chenkulam,Erattayar,0,,
Chenkulam,Idamalayar,1990,-0.2621817872688146,0.2621817872688146
Chenkulam,Idukki,1994,-0.30925353429585495,0.30925353429585495
Chenkulam,Kakkayam,1605,0.4496391900630473,0.4496391900630473
Chenkulam,Kallar,0,,
Chenkulam,Kallarkutty,1984,0.544938445819284,0.544938445819284
Chenkulam,Kundala,1994,-0.09644616092134795,0.09644616092134795
Chenkulam,Mattupetty,1993,-0.222779799447542,0.222779799447542
Chenkulam,Moozhiyar,1991,0.6392029803918949,0.6392029803918949
Chenkulam,Pamba,1989,0.2577177816450531,0.2577177816450531
Chenkulam,Pambla,1974,0.5736726870573252,0.5736726870573252
Chenkulam,Ponmudi,1992,0.2572880931943372,0.2572880931943372
Chenkulam,Poringalkuthu,1994,0.41877435743075464,0.41877435743075464
Chenkulam,Sholayar,1993,-0.23684127134140612,0.23684127134140612
Erattayar,Idamalayar,1,,
Erattayar,Idukki,1,,
Erattayar,Kakkayam,0,,
Erattayar,Kallar,2,1.0,1.0
Erattayar,Kallarkutty,2,1.0,1.0
Erattayar,Kundala,2,-1.0,1.0
Erattayar,Mattupetty,2,1.0,1.0
Erattayar,Moozhiyar,2,1.0,1.0
Erattayar,Pamba,2,-1.0,1.0
Erattayar,Pambla,2,1.0,1.0
Erattayar,Ponmudi,2,1.0,1.0
Erattayar,Poringalkuthu,2,1.0,1.0
Erattayar,Sholayar,2,-1.0,1.0
Idamalayar,Idukki,1995,0.9804506664484306,0.9804506664484306
Idamalayar,Kakkayam,1606,0.7900088728083091,0.7900088728083091
Idamalayar,Kallar,1,,
Idamalayar,Kallarkutty,1985,0.02333505289473633,0.02333505289473633
Idamalayar,Kundala,1995,0.631436520661463,0.631436520661463
Idamalayar,Mattupetty,1994,0.9509175209088263,0.9509175209088263
Idamalayar,Moozhiyar,1992,-0.33630128330995135,0.33630128330995135
Idamalayar,Pamba,1990,0.3123144611140652,0.3123144611140652
Idamalayar,Pambla,1975,0.0234530110645609,0.0234530110645609
Idamalayar,Ponmudi,1993,0.5418223169036533,0.5418223169036533
Idamalayar,Poringalkuthu,1995,0.10637816614442934,0.10637816614442934
Idamalayar,Sholayar,1994,0.9799800343262782,0.9799800343262782
Idukki,Kakkayam,1609,0.7313027947152019,0.7313027947152019
Idukki,Kallar,1,,
Idukki,Kallarkutty,1989,-0.06296027911759897,0.06296027911759897
Idukki,Kundala,1999,0.6300739728252843,0.6300739728252843
Idukki,Mattupetty,1998,0.9392643480181404,0.9392643480181404
Idukki,Moozhiyar,1996,-0.38068562245341453,0.38068562245341453
Idukki,Pamba,1994,0.24455792087516007,0.24455792087516007
Idukki,Pambla,1979,-0.06390569725525701,0.06390569725525701
Idukki,Ponmudi,1997,0.4975759137846241,0.4975759137846241
Idukki,Poringalkuthu,1999,0.018013169542229316,0.018013169542229316
Idukki,Sholayar,1998,0.9570737741478882,0.9570737741478882
Kakkayam,Kallar,0,,
Kakkayam,Kallarkutty,1599,0.7372132428285098,0.7372132428285098
Kakkayam,Kundala,1609,0.31249143118329714,0.31249143118329714
Kakkayam,Mattupetty,1608,0.6070368771356476,0.6070368771356476
Kakkayam,Moozhiyar,1609,0.4854207462289082,0.4854207462289082
Kakkayam,Pamba,1606,0.5567212397142453,0.5567212397142453
Kakkayam,Pambla,1607,0.7523929154768567,0.7523929154768567
Kakkayam,Ponmudi,1607,0.5520752784276892,0.5520752784276892
Kakkayam,Poringalkuthu,1609,0.6935079469197363,0.6935079469197363
Kakkayam,Sholayar,1608,0.6754974174399431,0.6754974174399431
Kallar,Kallarkutty,2,1.0,1.0
Kallar,Kundala,2,-1.0,1.0
Kallar,Mattupetty,2,1.0,1.0
Kallar,Moozhiyar,2,1.0,1.0
Kallar,Pamba,2,-1.0,1.0
Kallar,Pambla,2,1.0,1.0
Kallar,Ponmudi,2,0.9999999999999999,0.9999999999999999
Kallar,Poringalkuthu,2,1.0,1.0
Kallar,Sholayar,2,-1.0,1.0
Kallarkutty,Kundala,1990,0.2687742100309492,0.2687742100309492
Kallarkutty,Mattupetty,1989,0.11256779831404509,0.11256779831404509
Kallarkutty,Moozhiyar,1987,0.5454676250994218,0.5454676250994218
Kallarkutty,Pamba,1985,0.5317100531980351,0.5317100531980351
Kallarkutty,Pambla,1970,0.9578286868694964,0.9578286868694964
Kallarkutty,Ponmudi,1988,0.6542443882870858,0.6542443882870858
Kallarkutty,Poringalkuthu,1990,0.8420835306391237,0.8420835306391237
Kallarkutty,Sholayar,1989,0.06959656520833815,0.06959656520833815
Kundala,Mattupetty,1999,0.6911409742871587,0.6911409742871587
Kundala,Moozhiyar,1997,-0.10157033801253916,0.10157033801253916
Kundala,Pamba,1995,0.27318742039789706,0.27318742039789706
Kundala,Pambla,1980,0.2353368818289471,0.2353368818289471
Kundala,Ponmudi,1998,0.648306191741984,0.648306191741984
Kundala,Poringalkuthu,2000,0.27095670041594966,0.27095670041594966
Kundala,Sholayar,1999,0.641976114587627,0.641976114587627
Mattupetty,Moozhiyar,1996,-0.27764410312813875,0.27764410312813875
Mattupetty,Pamba,1994,0.30333781509825813,0.30333781509825813
Mattupetty,Pambla,1979,0.10800900856725251,0.10800900856725251
Mattupetty,Ponmudi,1997,0.6173854565812009,0.6173854565812009
Mattupetty,Poringalkuthu,1999,0.15035594501134802,0.15035594501134802
Mattupetty,Sholayar,1998,0.9429975930843025,0.9429975930843025
Moozhiyar,Pamba,1993,0.2867276458808361,0.2867276458808361
Moozhiyar,Pambla,1978,0.5527895132788112,0.5527895132788112
Moozhiyar,Ponmudi,1995,0.1922164418559304,0.1922164418559304
Moozhiyar,Poringalkuthu,1997,0.4416106702257145,0.4416106702257145
Moozhiyar,Sholayar,1996,-0.30817471685123726,0.30817471685123726
Pamba,Pambla,1976,0.5468864405888607,0.5468864405888607
Pamba,Ponmudi,1993,0.433737972572731,0.433737972572731
Pamba,Poringalkuthu,1996,0.41193665988007133,0.41193665988007133
Pamba,Sholayar,1994,0.31407810284677784,0.31407810284677784
Pambla,Ponmudi,1978,0.638859316053855,0.638859316053855
Pambla,Poringalkuthu,1980,0.8583154751777924,0.8583154751777924
Pambla,Sholayar,1979,0.0676696663982187,0.0676696663982187
Ponmudi,Poringalkuthu,1998,0.5516858755630767,0.5516858755630767
Ponmudi,Sholayar,1997,0.5773212220575751,0.5773212220575751
Poringalkuthu,Sholayar,1999,0.1457912305693165,0.1457912305693165
